id,question,A,B,C,D,answer
4,"Để xác định máu trong cơ thể một bệnh nhân, bác sĩ tiêm vào máu người đó 10 cm3 một dung dịch chứa  có chu kì bán rã 15 giờ với nồng độ 10-3 mol/lít.
MD2VL2.1 a)	Số mol  đã đưa vào trong máu bệnh nhân là n = 10-5 mol.
MD2VL2.1 b)	Khối lượng  đã đưa vào trong máu bệnh nhân là m0 = 2,4.10-4 g.
MD3VL3.1 c)	Sau 6 giờ lượng chất phóng xạ  còn lại trong máu bệnh nhân là m = 1,8.10-4 g.
MD3VL3.1 d)	Sau 6 giờ người ta lấy ra 10 cm3 máu bệnh nhân và đã tìm thấy 1,5.10-8 mol của chất .
Hướng dẫn giải
a)	ĐÚNG. Số mol  đã đưa vào trong máu bệnh nhân là : .
b)	ĐÚNG. Khối lượng  đã đưa vào trong máu bệnh nhân là :  m0 =n.M= 2,4.10-4 g.
c)	ĐÚNG. Sau 6 giờ lượng chất phóng xạ  còn lại trong máu bệnh nhân là :.
d)	ĐÚNG. Sau 6 giờ người ta lấy ra 10 cm3 máu bệnh nhân và đã tìm thấy 1,5.10-8 mol của chất . Thể tích máu trong cơ thể bệnh nhân là",,,,,"Đáp án: 
Công thức tính nhiệt lượng: Q=mcΔT
m=400 kg (khối lượng chất lỏng); c = 3600 J/(kgK (nhiệt dung riêng của chất lỏng)
ΔT=8,0 K  (độ tăng nhiệt độ)
Thay các giá trị vào công thức: Q=400×3600×8,0=11520000 J =11,52 MJ
Làm tròn đến 11,5 MJ."
1,"và Câu 2: Một bình oxygen y tế bệnh nhân thở trong giai đoạn phục hồi sức khỏe, bệnh nhân cần di chuyển thường xuyên hoặc bệnh nhân thở tại nhà có thể tích cố định là 10 lít chứa khí oxygen với áp suất ban đầu là 150 atm ở nhiệt độ 20 °C. Khí trong bình tuân theo định luật khí lý tưởng.",,,Khí trong bình tuân theo định luật khí lý tưởng.,,"Đáp án: C
A. Nóng chảy.	B. Hóa hơi.	C. Thăng hoa.	D. Đông đặc."
1,"MD2VL2.1 Nếu nhiệt độ của bình oxygen tăng lên đến 40 °C, áp suất của oxy trong bình sẽ thay đổi như thế nào? Tính áp suất mới của oxy trong bình (làm tròn đến chữ số hàng phần mười).
Hướng dẫn giải
Vì thể tích của bình là cố định, ta có thể sử dụng công thức biến đổi của định luật khí lý tưởng cho áp suất và nhiệt độ:",,,,,"Đáp án: C
A. Nóng chảy.	B. Hóa hơi.	C. Thăng hoa.	D. Đông đặc."
2,"MD2VL2.1 Giả sử một người sử dụng bình oxygen và giảm số phân tử oxygen trong bình còn 1,505·1024 phân tử ở nhiệt độ 20 °C. Khi đó, áp suất của oxygen trong bình là bao nhiêu atm? (Làm tròn kết quả đến chữ số hàng đơn vị).
Hướng dẫn giải
Số mol khí oxygen là
Dùng phương trình Calpeyron: pV=nRT
Sử dụng các thông tin sau cho Câu 3 và Câu 4: Một dây dẫn thẳng nằm ngang truyền tải dòng điện xoay chiều từ nhà máy nhiệt điện Trà Vinh đến các khu vực xung quanh. Cường độ dòng điện hiệu dụng trong dây dẫn này là I=106 A. Thành phần nằm ngang của từ trường Trái Đất tại khu vực Trà Vinh có độ lớn B=4×10−5 T và tạo với dây dẫn một góc sao cho lực từ đạt cực đại.",Thành phần nằm ngang của từ trường Trái Đất tại khu vực Trà Vinh có độ lớn B=4×10−5 T và tạo với dây dẫn một góc sao cho lực từ đạt cực đại.,,"Khi đó, áp suất của oxygen trong bình là bao nhiêu atm? (Làm tròn kết quả đến chữ số hàng đơn vị).
Hướng dẫn giải
Số mol khí oxygen là
Dùng phương trình Calpeyron: pV=nRT
Sử dụng các thông tin sau cho Câu 3 và Câu 4: Một dây dẫn thẳng nằm ngang truyền tải dòng điện xoay chiều từ nhà máy nhiệt điện Trà Vinh đến các khu vực xung quanh. Cường độ dòng điện hiệu dụng trong dây dẫn này là I=106",,"Đáp án: D
A. Hình 1.	B. Hình 2.	C. Hình 3.	D. Hình 4.
Sử dụng các thông tin sau cho Câu 3 và Câu 4: Hình bên là sơ đồ nguyên lí hoạt động của một máy lạnh. Máy lạnh sử dụng một hệ thống làm lạnh bằng chất lỏng. Chất lỏng này được bơm qua ống làm mát, nơi nó hấp thụ nhiệt từ không khí trong phòng và sau đó bay hơi thành khí. Sau đó, khí này được nén và chuyển vào dàn nóng để giải phóng nhiệt ra ngoài môi trường. Mỗi giờ có 400 kg chất lỏng được bơm qua máy. Biết nhiệt dung riêng của chất lỏng là c = 3600 J/(kgK), và nhiệt độ của chất lỏng tăng thêm 8 0C khi hấp thụ nhiệt từ không khí trong phòng."
3,"MD2VL3.1  Biết dây dẫn có chiều dài L=500 m, thì tổng lực từ cực đại do từ trường Trái Đất tác dụng lên toàn bộ chiều dài dây dẫn là bao nhiêu Newton? (Làm tròn kết quả đến chữ số hàng đơn vị).
Hướng dẫn giải
Cường độ dòng điện cực đại
Lực từ cực đại tác dụng lên mỗi mét chiều dài của dây dẫn được tính bằng công thức:",,,,,"Đáp án: 
Ta biết rằng 1 độ Celsius (°C) tương đương với 1 Kelvin (K), do đó độ tăng nhiệt độ trong Kelvin và Celsius là như nhau. Vì nhiệt độ của chất lỏng tăng thêm 80C, nên độ tăng nhiệt độ cũng là 8,0 K."
4,"MD3VL3.1 Nếu dây dẫn này truyền tải công suất P=22,000 W ở điện áp hiệu dụng U=220 V, thì tổng trở của dây dẫn là bao nhiêu Ohm (Ω)? (Làm tròn kết quả đến chữ số hàng phần mười).
Sử dụng các thông tin sau cho Câu 5 và Câu 6: Nhà máy điện hạt nhân Diablo Canyon ở California, Mỹ có công suất phát điện là 1120 MW với hiệu suất 32%. Năng lượng phân hạch trung bình của một hạt nhân  là 200 MeV. Nước làm mát hấp thụ nhiệt lượng dư từ lò phản ứng và được xả ra biển sau khi qua quá trình làm mát trong các hệ thống trao đổi nhiệt. Khối lượng mol của là 235 g/mol. Biết . Khối lượng mol nguyên tử của  là 235 g/mol.
Hướng dẫn giải
Công suất P và điện áp hiệu dụng U được liên hệ với tổng trở Z = R của dây dẫn theo công thức:",,,,,"Đáp án: 
Công thức tính nhiệt lượng: Q=mcΔT
m=400 kg (khối lượng chất lỏng); c = 3600 J/(kgK (nhiệt dung riêng của chất lỏng)
ΔT=8,0 K  (độ tăng nhiệt độ)
Thay các giá trị vào công thức: Q=400×3600×8,0=11520000 J =11,52 MJ
Làm tròn đến 11,5 MJ."
5,"MD3VL3.1 Trong một giây, số hạt nhân  phân hạch trong lò phản ứng của nhà máy Diablo Canyon là x.1020 hạt. Tính x. (làm tròn kết quả đến chữ số hàng phần trăm).
Hướng dẫn giải
Công suất nhiệt của lò phản ứng P tỏa ra là tổng nhiệt lượng tạo ra từ quá trình phân hạch, bao gồm cả năng lượng được chuyển thành điện và nhiệt dư không sử dụng được. Do hiệu suất của nhà máy là 33%, ta có:
Năng lượng phân hạch trung bình của một hạt nhân U235 là 200 MeV = 3,2.10-11 J.
Số hạt nhân phân hạch mỗi giây N được tính bằng:  (hạt)",,,,,"Đáp án: 
"
6,"MD3VL3.1 Biết 70% nhiệt lượng dư từ phân hạch được hấp thụ bởi nước làm mát. Nhà máy sẽ xả ra môi trường một lượng nhiệt dư bao nhiêu MW (làm tròn kết quả đến chữ số hàng đơn vị)?
Hướng dẫn giải
Vì hiệu suất của nhà máy là 32%, chỉ 32% năng lượng từ quá trình phân hạch được chuyển thành điện năng, nghĩa là phần nhiệt lượng dư chiếm 68% của công suất tỏa ra:
P nhiệt dư = Ptoa. (1-H) = 3500.0,68 = 2380 MW
P nhiệt hấp thụ = P nhiệt dư . 0,7 = 1666 MW
Nhiệt lượng dư xả ra môi trường là 30% nhiệt lượng dư không được hấp thụ:
P nhiệt xả ra = P nhiệt dư . 0,3 = 714 MW
Nhiệt lượng dư mà nhà máy điện hạt nhân Diablo Canyon xả ra môi trường là khoảng 714 MW.",,,,,"Đáp án: 
Áp suất giảm tỷ lệ thuận với nhiệt độ khi giữ thể tích không đổi, từ 373 K đến 298 K, tức là giảm 20%."
1,Quá trình một chất chuyển từ thể rắn sang thể lỏng được gọi là quá trình,nóng chảy.,hóa hơi.,đông đặc.,ngưng tụ.,"Đáp án: A
CĐTD: Biết
TPNL: VL1.1
Quá trình một chất chuyển từ thể rắn sang thể lỏng được gọi là quá trình nóng chảy."
2,Biển báo nào dưới đây cảnh báo nơi nguy hiểm về điện?,Hình 1.,Hình 2.,Hình 3.,Hình 4.,"Đáp án: A
CĐTD: Biết
TPNL: VL1.2
Hình 1: Cảnh báo về nguy cơ điện giật hoặc khu vực có điện áp cao. Khi thấy biển này, cần tránh tiếp xúc với các thiết bị điện hoặc hệ thống điện mà không có bảo hộ phù hợp.
Hình 2 : Cảnh báo về sự hiện diện của chất phóng xạ hoặc bức xạ ion hóa có thể gây hại cho sức khỏe. Khu vực có biển báo này yêu cầu tuân thủ các quy tắc an toàn nghiêm ngặt, chẳng hạn như sử dụng quần áo bảo hộ và thiết bị chuyên dụng.
Hình 3: Thường được gọi là cảnh báo sinh học, biểu tượng này cho biết khu vực có nguy cơ tiếp xúc với các tác nhân sinh học nguy hiểm như vi khuẩn, virus hoặc các chất sinh học có thể gây bệnh. Thường gặp trong phòng thí nghiệm hoặc các cơ sở y tế.
Hình 4 : Đây là biểu tượng cảnh báo chung, có thể áp dụng cho nhiều loại nguy hiểm khác nhau. Thường được sử dụng khi có nguy cơ gây hại nhưng không thuộc một loại nguy hiểm cụ thể nào, ví dụ như nguy hiểm hóa chất, nguy hiểm vật lý hoặc các nguy cơ tiềm ẩn khác."
3,Một vật được làm nóng sao cho thể tích của vật không thay đổi thì nội năng của vật,giảm.,tăng.,giảm rồi tăng.,"không thay đổi.
Sử dụng các thông tin sau cho Câu 4 và Câu 5: Hình bên dưới là sơ đồ nguyên lí hoạt động của một máy làm nóng nước. Nước lạnh có nhiệt độ  được đưa vào máy từ ống dẫn nước lạnh với lưu lượng . Khối lượng riêng của nước là . Nhiệt dung riêng của nước là . Hiệu suất làm nóng nước là .","Đáp án: B
CĐTD: Hiểu
TPNL: VL1.5
Thể tích vật không thay đổi nên vật không sinh công, cũng không nhận công, tức là .
Vật được làm nóng nên nó nhận nhiệt lượng, tức là .
Theo định luật I nhiệt động lực học, độ biến thiên nội năng của vật là
Do đó, nội năng của vật tăng.
Sử dụng các thông tin sau cho Câu 4 và Câu 5: Hình bên dưới là sơ đồ nguyên lí hoạt động của một máy làm nóng nước. Nước lạnh có nhiệt độ  được đưa vào máy từ ống dẫn nước lạnh với lưu lượng . Khối lượng riêng của nước là . Nhiệt dung riêng của nước là . Hiệu suất làm nóng nước là ."
4,Nhiệt độ của nước tăng một lượng bao nhiêu kelvin (K) khi đi qua máy làm nóng nước?,"309,7 K.","16,5 K.","36,7 K.","289,5 K.","Đáp án: B
CĐTD: Vận dụng
TPNL: VL2.4
Nhiệt độ của nước tăng một lượng là"
5,Công suất tiêu thụ điện của máy làm nóng nước là,"2,7 kW.","2,8 kW.","3,0 kW.","2,9 kW.","Đáp án: C
CĐTD: Vận dụng
TPNL: VL2.4
Công suất tiêu thụ điện của máy làm nóng nước là"
6,Một khối khí lí tưởng xác định có thể tích bằng . Nếu giữ áp suất của khối khí đó không đổi và làm cho thể tích của khối khí tăng lên bằng  thì nhiệt độ tuyệt đối của khối khí,giảm 2 lần.,tăng 2 lần.,tăng 4 lần.,giảm 4 lần.,"Đáp án: B
CĐTD: Hiểu
TPNL: VL1.5
Theo định luật Charles, khi áp suất của khối khí lí tưởng xác định không đổi thì thể tích và nhiệt độ tuyệt đối của khối khí tỉ lệ thuận với nhau. Do đó, thể tích của khối khí tăng 2 lần (từ  lên ) thì nhiệt độ tuyệt đối của nó tăng 2 lần."
7,"Gọi p, V và T lần lượt là áp suất, thể tích và nhiệt độ tuyệt đối của một khối khí lí tưởng xác định. Công thức nào sau đây mô tả đúng định luật Boyle?",hằng số.,hằng số.,hằng số.,hằng số.,"Đáp án: D
CĐTD: Biết
TPNL: VL1.3
Theo định luật Boyle, khi nhiệt độ khối khí lí tưởng xác định không đổi thì áp suất  và thể tích  của khối khí tỉ lệ nghịch với nhau, tức là"
8,"Một căn phòng mở cửa, không khí trong phòng vào sáng sớm có nhiệt độ . Đến giữa trưa, không khí trong phòng có nhiệt độ . Coi không khí trong phòng là khí lí tưởng, áp suất khí quyển thay đổi không đáng kể, trời gần như lặng gió. So với khối lượng không khí trong phòng vào sáng sớm, tính đến giữa trưa, phần trăm khối lượng không khí đã thoát ra ngoài phòng là","1,65%.",20%.,"98,35%.",80%.,"Đáp án: A
CĐTD: Vận dụng
TPNL: VL3.1
Dùng phương trình Clapeyron cho lượng không khí có trong phòng vào sáng sớm, vào giữa trưa với chú ý áp suất và thể tích của hai lượng khí này như nhau, còn khối lượng là  và , nhiệt độ tuyệt đối là  và  đều khác nhau, khối lượng mol không khí là , ta có
trong đó  là hằng số khí.
Từ hai phương trình này ta suy ra
hay là"
9,"Trong sóng điện từ, dao động của điện trường và của từ trường tại một điểm luôn",ngược pha nhau.,lệch pha nhau .,lệch pha nhau .,"đồng pha nhau.
Sử dụng các thông tin sau cho Câu 10 và Câu 11: Hình bên mô tả một dynamo gắn trên xe đạp và sơ đồ cấu tạo của nó. Khi xe đạp chạy, bánh xe làm cho núm dẫn động quay, kéo theo nam châm quay. Khi đó trong cuộn dây xuất hiện dòng điện, làm cho bóng đèn mắc nối tiếp với cuộn dây sáng lên.","Đáp án: D
CĐTD: Biết
TPNL: VL1.4
Trong sóng điện từ, dao động của điện trường và của từ trường tại một điểm luôn đồng pha nhau.
Sử dụng các thông tin sau cho Câu 10 và Câu 11: Hình bên mô tả một dynamo gắn trên xe đạp và sơ đồ cấu tạo của nó. Khi xe đạp chạy, bánh xe làm cho núm dẫn động quay, kéo theo nam châm quay. Khi đó trong cuộn dây xuất hiện dòng điện, làm cho bóng đèn mắc nối tiếp với cuộn dây sáng lên."
10,Dynamo gắn trên xe đạp là một ứng dụng của,hiện tượng cảm ứng điện từ.,hiện tượng tích điện.,hiện tượng quang điện.,hiện tượng nhiễm điện do cọ xát.,"Đáp án: A
CĐTD: Biết
TPNL: VL1.1
Nam châm quay làm cho từ thông gửi qua cuộn dây thay đổi nên trong cuộn dây xuất hiện suất điện động cảm ứng. Bóng đèn mắc nối tiếp với cuộn dây thành mạch kín nên trong mạch có dòng điện cảm ứng làm cho bóng đèn sáng lên. Đây là hiện tượng cảm ứng điện từ."
11,"Dòng điện chạy qua bóng đèn là dòng điện gì, độ sáng của bóng đèn thay đổi như thế nào khi xe đạp tăng tốc độ?","Dòng điện xoay chiều, độ sáng tăng.","Dòng điện một chiều, độ sáng giảm.","Dòng điện xoay chiều, độ sáng giảm.","Dòng điện một chiều, độ sáng tăng.","Đáp án: A
CĐTD: Hiểu
TPNL: VL1.5
Khi nam châm quay, từ thông gửi qua cuộn dây có giá trị đại số (âm, dương hoặc bằng 0), thay đổi theo thời gian nên dòng điện cảm ứng xuất hiện trong cuộn dây và chạy qua bóng đèn là dòng điện xoay chiều.
Khi xe đạp tăng tốc độ thì tốc độ biến thiên của từ thông qua cuộn dây tăng, dẫn đến suất điện động và dòng điện cảm ứng trong mạch có biên độ tăng, có tốc độ biến thiên theo thời gian tăng, làm cho độ sáng của bóng đèn tăng."
12,Hình vẽ nào sau đây mô tả đúng về lực từ  tác dụng lên một đoạn dây dẫn thẳng mang dòng điện cường độ  đặt trong một từ trường đều ?,Hình 1.,Hình 2.,Hình 3.,Hình 4.,"Đáp án: B
CĐTD: Hiểu
TPNL: VL1.3
Sử dụng quy tắc bàn tay trái về tìm chiều của lực từ tác dụng lên đoạn dòng điện đặt trong từ trường ta thấy chỉ có phương án B đúng."
13,Lực từ không phải là lực tương tác,giữa hai dòng điện.,giữa hai điện tích đứng yên.,giữa hai nam châm.,giữa một nam châm và một dòng điện.,"Đáp án: B
CĐTD: Biết
TPNL: VL1.6
Lực từ lực tương tác giữa nam châm với nam châm, giữa dòng điện với dòng điện, giữa nam châm với dòng điện.
Lực tương tác giữa hai điện tích đứng yên là lực điện."
14,"Chụp cộng hưởng từ hay còn gọi là chụp MRI (Magnetic Resonance Imaging) như hình bên là phương pháp sử dụng ………, sóng vô tuyến và máy tính để phác họa hình ảnh chi tiết bên trong cơ thể con người. Cụm từ thích hợp điền vào dấu ……… ở trên là",từ trường mạnh.,điện trường mạnh.,tia Röntgen (tia X).,tia gamma (tia .,"Đáp án: A
CĐTD: Biết
TPNL: VL1.7
Chụp cộng hưởng từ hay còn gọi là chụp MRI (Magnetic Resonance Imaging) là phương pháp sử dụng từ trường mạnh, sóng vô tuyến và máy tính để phác họa hình ảnh chi tiết bên trong cơ thể con người."
15,Hạt nhân côban  có bao nhiêu neutron?,33.,27.,60.,23.,"Đáp án: A
CĐTD: Biết
TPNL: VL1.2
Hạt nhân  có 60 nucleon, gồm 27 proton và  neutron."
16,Hạt nhân càng bền vững nếu nó có,khối lượng càng lớn.,độ hụt khối càng lớn.,năng lượng liên kết càng lớn.,năng lượng liên kết riêng càng lớn.,"Đáp án: D
CĐTD: Biết
TPNL: VL1.4
Hạt nhân càng bền vững nếu nó có năng lượng liên kết riêng càng lớn."
17,"Cho các tia phóng xạ , , ,  đi vào một điện trường đều theo phương vuông góc với các đường sức. Tia không bị lệch hướng trong điện trường là",Tia .,Tia .,Tia .,Tia .,"Đáp án: D
CĐTD: Hiểu
TPNL: VL1.3
Trong các tia phóng xạ , ,  và  thì các tia ,  và  đều có điện tích, chỉ có tia  là dòng các photon, không có điện tích. Do đó, khi cho các tia , , ,  đi vào một điện trường đều theo phương vuông góc với các đường sức thì điện trường tác dụng lực điện lên các tia , ,  làm chúng bị lệch hướng, chỉ có tia  không bị điện trường tác dụng lực điện nên nó không bị lệch hướng."
18,Một khung dây dẫn hình vuông cạnh  được đặt cố định trong một từ trường đều sao cho các đường sức từ vuông góc với mặt phẳng chứa khung dây. Cho độ lớn cảm ứng từ của từ trường tăng đều theo thời gian từ  đến  trong thời gian  thì độ lớn suất điện động cảm ứng xuất hiện trong khung dây trong thời gian này là,.,.,.,.,"Đáp án: A
CĐTD: Vận dụng
TPNL: VL2.4
Độ lớn suất điện động cảm ứng xuất hiện trong khung dây là
PHẦN II. Thí sinh trả lời từ câu 1 đến câu 4. Trong mỗi ý a), b), c), d) ở mỗi câu, thí sinh chọn đúng hoặc sai."
1,"Một học sinh làm thí nghiệm khảo sát áp suất của một lượng khí xác định theo nhiệt độ tuyệt đối của nó ở một thể tích không đổi là , thu được kết quả như ở bảng sau đây.
a) Với sai số dưới 10%, nhiệt độ tuyệt đối của lượng khí tăng bao nhiêu lần thì áp suất của nó tăng bấy nhiêu lần.
b) Lượng khí đã dùng trong thí nghiệm là .
c) Đồ thị biểu diễn mối liên hệ giữa  và  có dạng như hình vẽ.
d) Lấy tỉ số giữa  (tính theo đơn vị kPa) và  (tính theo đơn vị K) với hai chữ số có nghĩa, khi nhiệt độ tuyệt đối của lượng khí là  thì áp suất của nó bằng .",,,,,"Đáp án: A
CĐTD: Biết
TPNL: VL1.1
Quá trình một chất chuyển từ thể rắn sang thể lỏng được gọi là quá trình nóng chảy."
2,"Hình bên mô tả một chiếc ô tô 4 bánh đang vượt qua một sa mạc. Chuyến đi bắt đầu vào sáng sớm khi nhiệt độ khí ngoài trời là . Thể tích và áp suất của khí chứa trong mỗi lốp xe là  và  với . Coi khí trong lốp xe là khí lí tưởng và có nhiệt độ như khí ngoài trời. Bỏ qua sự dãn nở vì nhiệt của các lốp xe.
a) Các phân tử khí trong lốp xe chuyển động nhiệt va chạm với thành bên trong của lốp nên khí gây ra áp suất lên thành lốp.
b) Tổng số mol khí có trong 4 lốp của 4 bánh xe là .
c) Đến giữa trưa, nhiệt độ tăng lên đến  thì áp suất khí trong các lốp xe bằng .
d) Độ tăng động năng tịnh tiến trung bình của phân tử khí trong lốp xe do sự gia tăng nhiệt độ này là .",,,,,"Đáp án: A
CĐTD: Biết
TPNL: VL1.2
Hình 1: Cảnh báo về nguy cơ điện giật hoặc khu vực có điện áp cao. Khi thấy biển này, cần tránh tiếp xúc với các thiết bị điện hoặc hệ thống điện mà không có bảo hộ phù hợp.
Hình 2 : Cảnh báo về sự hiện diện của chất phóng xạ hoặc bức xạ ion hóa có thể gây hại cho sức khỏe. Khu vực có biển báo này yêu cầu tuân thủ các quy tắc an toàn nghiêm ngặt, chẳng hạn như sử dụng quần áo bảo hộ và thiết bị chuyên dụng.
Hình 3: Thường được gọi là cảnh báo sinh học, biểu tượng này cho biết khu vực có nguy cơ tiếp xúc với các tác nhân sinh học nguy hiểm như vi khuẩn, virus hoặc các chất sinh học có thể gây bệnh. Thường gặp trong phòng thí nghiệm hoặc các cơ sở y tế.
Hình 4 : Đây là biểu tượng cảnh báo chung, có thể áp dụng cho nhiều loại nguy hiểm khác nhau. Thường được sử dụng khi có nguy cơ gây hại nhưng không thuộc một loại nguy hiểm cụ thể nào, ví dụ như nguy hiểm hóa chất, nguy hiểm vật lý hoặc các nguy cơ tiềm ẩn khác."
3,"Nguyên tử hydrogen có cấu tạo gồm hạt nhân là một proton có điện tích là , lớp vỏ là một electron có điện tích là . Coi electron trong nguyên tử hydrogen chuyển động tròn đều xung quanh hạt nhân với bán kính quỹ đạo là  và vận tốc là  như hình vẽ. Khối lượng của electron là
a) Lực điện mà hạt nhân của nguyên tử hydrogen tác dụng lên electron là lực hút và có độ lớn .
b) Tốc độ chuyển động của electron là .
c) Sự chuyển động của electron quanh hạt nhân tạo nên một dòng điện tròn có cường độ
d) Cảm ứng từ do dòng điện tròn nói trên gây ra tại hạt nhân của nguyên tử hydrogen có chiều như hình vẽ và có độ lớn .",,,,,"Đáp án: B
CĐTD: Hiểu
TPNL: VL1.5
Thể tích vật không thay đổi nên vật không sinh công, cũng không nhận công, tức là .
Vật được làm nóng nên nó nhận nhiệt lượng, tức là .
Theo định luật I nhiệt động lực học, độ biến thiên nội năng của vật là
Do đó, nội năng của vật tăng.
Sử dụng các thông tin sau cho Câu 4 và Câu 5: Hình bên dưới là sơ đồ nguyên lí hoạt động của một máy làm nóng nước. Nước lạnh có nhiệt độ  được đưa vào máy từ ống dẫn nước lạnh với lưu lượng . Khối lượng riêng của nước là . Nhiệt dung riêng của nước là . Hiệu suất làm nóng nước là ."
4,"Strontium  là một trong số các bụi phóng xạ nguy hiểm từ các vụ nổ hạt nhân. Chu kì bán rã của  là . Strontium khi bị bò ăn phải, sẽ tập trung trong sữa của bò và sẽ được lưu lại trong xương của những người uống sữa bò đó. Strontium  khi nằm trong xương sẽ phát ra các tia phóng xạ có năng lượng lớn, phá hủy tủy xương và do đó làm suy yếu sự sản xuất tế bào hồng cầu. Strontium  có khối lượng mol là . Lấy một năm có 365 ngày. Số Avogadro là .
a) Hằng số phóng xạ của  là .
b) Khi một hạt nhân  phóng xạ , sản phẩm phân rã là một hạt nhân có 37 proton và 53 neutron.
c) Khối lượng  tích tụ trong xương sẽ giảm bớt 20% so với ban đầu sau thời gian .
d) Độ phóng xạ của lượng  có khối lượng  có giá trị xấp xỉ .",,,,,"Đáp án: B
CĐTD: Vận dụng
TPNL: VL2.4
Nhiệt độ của nước tăng một lượng là"
1,"và Câu 2: Trong một cuộc tập luyện chạy Marathon, người ta ước tính “nữ hoàng chân đất” Phạm Thị Bình của Việt Nam (hình bên) tiêu tốn khoảng . Giả sử có 40% năng lượng tiêu tốn được dùng cho vận động, phần năng lượng còn lại chuyển thành nhiệt thải ra ngoài nhờ sự bay hơi của nước qua hô hấp và da để giữ cho nhiệt độ cơ thể của cô không đổi. Coi nhiệt độ cơ thể của cô không đổi và nhiệt hoá hơi riêng của nước ở nhiệt độ của cơ thể của cô là  Lấy  Khối lượng riêng của nước là .",,,,,"Đáp án: A
CĐTD: Biết
TPNL: VL1.1
Quá trình một chất chuyển từ thể rắn sang thể lỏng được gọi là quá trình nóng chảy."
1,Phần năng lượng chuyển thành nhiệt cho cuộc tập luyện này là . Tìm  (làm tròn kết quả đến chữ số hàng phần trăm).,,,,,"Đáp án: A
CĐTD: Biết
TPNL: VL1.1
Quá trình một chất chuyển từ thể rắn sang thể lỏng được gọi là quá trình nóng chảy."
2,Hỏi có khoảng bao nhiêu lít nước đã thoát ra ngoài cơ thể của cô cho cuộc tập luyện này (làm tròn kết quả đến chữ số hàng phần trăm)?,,,,,"Đáp án: A
CĐTD: Biết
TPNL: VL1.2
Hình 1: Cảnh báo về nguy cơ điện giật hoặc khu vực có điện áp cao. Khi thấy biển này, cần tránh tiếp xúc với các thiết bị điện hoặc hệ thống điện mà không có bảo hộ phù hợp.
Hình 2 : Cảnh báo về sự hiện diện của chất phóng xạ hoặc bức xạ ion hóa có thể gây hại cho sức khỏe. Khu vực có biển báo này yêu cầu tuân thủ các quy tắc an toàn nghiêm ngặt, chẳng hạn như sử dụng quần áo bảo hộ và thiết bị chuyên dụng.
Hình 3: Thường được gọi là cảnh báo sinh học, biểu tượng này cho biết khu vực có nguy cơ tiếp xúc với các tác nhân sinh học nguy hiểm như vi khuẩn, virus hoặc các chất sinh học có thể gây bệnh. Thường gặp trong phòng thí nghiệm hoặc các cơ sở y tế.
Hình 4 : Đây là biểu tượng cảnh báo chung, có thể áp dụng cho nhiều loại nguy hiểm khác nhau. Thường được sử dụng khi có nguy cơ gây hại nhưng không thuộc một loại nguy hiểm cụ thể nào, ví dụ như nguy hiểm hóa chất, nguy hiểm vật lý hoặc các nguy cơ tiềm ẩn khác."
3,Bóng thám không như hình vẽ là một thiết bị thường dùng trong ngành khí tượng để hỗ trợ thu thập các thông số của các tầng khí quyển. Một bóng thám không ở dưới mặt đất được bơm khí ở áp suất  và nhiệt độ . Để bóng này khi lên đến tầng khí quyển có áp suất   và nhiệt độ  vẫn không phình quá thể tích  thì thể tích bóng khi được bơm ở mặt đất tối đa là bao nhiêu  (làm tròn kết quả đến chữ số hàng phần trăm)? Coi khí bơm vào bóng là khí lí tưởng.,,,,,"Đáp án: B
CĐTD: Hiểu
TPNL: VL1.5
Thể tích vật không thay đổi nên vật không sinh công, cũng không nhận công, tức là .
Vật được làm nóng nên nó nhận nhiệt lượng, tức là .
Theo định luật I nhiệt động lực học, độ biến thiên nội năng của vật là
Do đó, nội năng của vật tăng.
Sử dụng các thông tin sau cho Câu 4 và Câu 5: Hình bên dưới là sơ đồ nguyên lí hoạt động của một máy làm nóng nước. Nước lạnh có nhiệt độ  được đưa vào máy từ ống dẫn nước lạnh với lưu lượng . Khối lượng riêng của nước là . Nhiệt dung riêng của nước là . Hiệu suất làm nóng nước là ."
4,"Một đoạn dây dẫn nằm ngang được giữ cố định ở vùng từ trường đều trong khoảng không gian giữa hai cực của nam châm. Nam châm này được đặt trên một cái cân như hình bên. Phần nằm trong từ trường của đoạn dây dẫn có chiều dài là . Khi không có dòng điện chạy trong đoạn dây, số chỉ của cân là . Khi có dòng điện cường độ  chạy trong đoạn dây, số chỉ của cân là . Lấy . Độ lớn cảm ứng từ giữa các cực của nam châm bằng bao nhiêu T (làm tròn kết quả đến chữ số hàng phần trăm)?
Sử dụng các thông tin sau cho Câu 5 và Câu 6: Đồng vị phóng xạ  xenon  được sử dụng trong phương pháp nguyên tử đánh dấu của y học hạt nhân khi kiểm tra chức năng và chẩn đoán các bệnh về phổi. Mỗi hạt nhân xenon  phân rã tạo thành một hạt nhân cesium, một hạt  và một hạt . Chu kì bán rã của xenon  là . Một mẫu khí chứa xenon  được sản xuất tại nhà máy có độ phóng xạ . Mẫu đó được vận chuyển về bệnh viện và sử dụng cho bệnh nhân sau đó",,,,,"Đáp án: B
CĐTD: Vận dụng
TPNL: VL2.4
Nhiệt độ của nước tăng một lượng là"
